ID,Name,Description,Nexus_File
418,char_417_neck,,data.nex
419,char_418_neck,,data.nex
420,char_419_neck,,data.nex
421,char_420_neck,,data.nex
422,char_421_neck,,data.nex
423,char_422_neck,,data.nex
424,char_423_neck,,data.nex
425,char_424_neck,,data.nex
426,char_425_neck,,data.nex
427,char_426_neck,,data.nex
428,char_427_neck,,data.nex
429,char_428_neck,,data.nex
430,char_429_breast,,data.nex
431,char_430_breast,,data.nex
432,char_431_breast,,data.nex
433,char_432_breast,,data.nex
434,char_433_breast,,data.nex
435,char_434_breast,,data.nex
436,char_435_breast,,data.nex
437,char_436_breast,,data.nex
438,char_437_breast,,data.nex
439,char_438_breast,,data.nex
440,char_439_breast,,data.nex
441,char_440_breast,,data.nex
442,char_441_breast,,data.nex
443,char_442_breast,,data.nex
444,char_443_breast,,data.nex
445,char_444_breast,,data.nex
446,char_445_heart,,data.nex
447,char_446_heart,,data.nex
448,char_447_heart,,data.nex
449,char_448_heart,,data.nex
450,char_449_heart,,data.nex
451,char_450_heart,,data.nex
452,char_451_heart,,data.nex
453,char_452_heart,,data.nex
454,char_453_heart,,data.nex
455,char_454_heart,,data.nex
456,char_455_heart,,data.nex
457,char_456_liver,,data.nex
458,char_457_liver,,data.nex
459,char_458_liver,,data.nex
460,char_459_liver,,data.nex
461,char_460_liver,,data.nex
462,char_461_liver,,data.nex
463,char_462_liver,,data.nex
464,char_463_liver,,data.nex
465,char_464_liver,,data.nex
466,char_465_liver,,data.nex
467,char_466_liver,,data.nex
468,char_467_drink,,data.nex
469,char_468_drink,,data.nex
470,char_469_drink,,data.nex
471,char_470_drink,,data.nex
472,char_471_drink,,data.nex
473,char_472_drink,,data.nex
474,char_473_eat,,data.nex
475,char_474_eat,,data.nex
476,char_475_eat,,data.nex
477,char_476_eat,,data.nex
478,char_477_eat,,data.nex
479,char_478_eat,,data.nex
480,char_479_eat,,data.nex
481,char_480_eat,,data.nex
482,char_481_eat,,data.nex
483,char_482_eat,,data.nex
484,char_483_bite,,data.nex
485,char_484_bite,,data.nex
486,char_485_bite,,data.nex
487,char_486_bite,,data.nex
488,char_487_bite,,data.nex
489,char_488_bite,,data.nex
490,char_489_bite,,data.nex
491,char_490_bite,,data.nex
492,char_491_see,,data.nex
493,char_492_see,,data.nex
494,char_493_see,,data.nex
495,char_494_see,,data.nex
496,char_495_see,,data.nex
497,char_496_see,,data.nex
498,char_497_see,,data.nex
499,char_498_see,,data.nex
500,char_499_see,,data.nex
501,char_500_see,,data.nex
502,char_501_see,,data.nex
503,char_502_hear,,data.nex
504,char_503_hear,,data.nex
505,char_504_hear,,data.nex
506,char_505_hear,,data.nex
507,char_506_know,,data.nex
508,char_507_know,,data.nex
509,char_508_know,,data.nex
510,char_509_know,,data.nex
511,char_510_know,,data.nex
512,char_511_know,,data.nex
513,char_512_know,,data.nex
514,char_513_know,,data.nex
515,char_514_know,,data.nex
516,char_515_know,,data.nex
517,char_516_know,,data.nex
518,char_517_know,,data.nex
519,char_518_know,,data.nex
520,char_519_sleep,,data.nex
521,char_520_sleep,,data.nex
522,char_521_sleep,,data.nex
523,char_522_sleep,,data.nex
524,char_523_sleep,,data.nex
525,char_524_sleep,,data.nex
526,char_525_sleep,,data.nex
527,char_526_sleep,,data.nex
528,char_527_sleep,,data.nex
529,char_528_sleep,,data.nex
530,char_529_sleep,,data.nex
531,char_530_sleep,,data.nex
532,char_531_die,,data.nex
533,char_532_die,,data.nex
534,char_533_die,,data.nex
535,char_534_die,,data.nex
536,char_535_die,,data.nex
537,char_536_die,,data.nex
538,char_537_die,,data.nex
539,char_538_kill,,data.nex
540,char_539_kill,,data.nex
541,char_540_kill,,data.nex
542,char_541_kill,,data.nex
543,char_542_kill,,data.nex
544,char_543_kill,,data.nex
545,char_544_kill,,data.nex
546,char_545_kill,,data.nex
547,char_546_kill,,data.nex
548,char_547_kill,,data.nex
549,char_548_kill,,data.nex
550,char_549_kill,,data.nex
551,char_550_swim,,data.nex
552,char_551_swim,,data.nex
553,char_552_swim,,data.nex
554,char_553_swim,,data.nex
555,char_554_swim,,data.nex
556,char_555_swim,,data.nex
557,char_556_swim,,data.nex
558,char_557_swim,,data.nex
559,char_558_swim,,data.nex
560,char_559_swim,,data.nex
561,char_560_fly,,data.nex
562,char_561_fly,,data.nex
563,char_562_fly,,data.nex
564,char_563_fly,,data.nex
565,char_564_fly,,data.nex
566,char_565_fly,,data.nex
567,char_566_fly,,data.nex
